product_name,Advanced Analytics & AI,Core Financial & Accounting,Financial Reporting & Business Intelligence,Implementation & Customer Support,Inventory & Supply Chain Management,Mobile & Web Access,Payroll & HR Management,Product Evolution & Updates,Sales & Order Management,Small Business Suitability,System Administration & Governance,System Architecture & Customization,System Integration & APIs,User Experience & System Usability
Acumatica,3.47,3.44,3.47,3.91,3.69,3.64,3.49,3.66,3.33,,3.76,3.84,3.84,3.71
Certinia,3.9,3.62,3.09,,3.6,,,3.92,4.0,,,,3.78,4.0
Intuit Enterprise Suite,,3.26,,,3.48,,,,,,3.78,,3.93,
Microsoft Dynamics 365,3.54,3.56,2.98,,3.7,,,,3.44,,3.65,3.8,3.81,3.97
Oracle NetSuite,3.92,3.56,3.42,3.82,3.52,3.94,3.2,3.7,3.92,3.95,3.66,3.92,3.93,3.82
QuickBooks Desktop Pro,,3.56,,3.8,,3.91,,3.36,,,,,,3.72
QuickBooks Enterprise,,3.4,3.2,,3.93,3.61,3.18,,3.43,,3.72,4.0,3.99,3.92
QuickBooks Online,,3.52,3.42,4.0,,3.87,3.31,3.98,3.84,3.82,3.85,,3.06,3.9
SAP S/4HANA Cloud,3.84,3.87,3.68,,3.76,3.74,3.82,,3.61,,3.92,3.93,3.92,3.96
Sage Intacct,3.72,3.5,3.54,3.78,3.6,3.3,3.28,3.88,4.33,3.62,3.69,3.9,3.87,3.86
Workday Financial Management,3.92,3.57,3.68,,3.55,,3.36,,4.35,,3.92,,3.96,3.71
Xero,,3.5,3.33,3.98,3.99,3.96,3.62,,3.72,3.9,3.53,3.98,3.92,3.88
