topic_id,doc_count,topic_name,top_keywords
-1,4222,-1_ease_ability_data_able,outlier — no coherent topic
0,6383,0_quickbooks_quickbooks online_online_sap,"quickbooks, quickbooks online, online, sap, cloud, desktop, microsoft, software, easy use, reports"
1,913,1_appreciate_inquiries_generic_initial setup,"appreciate, inquiries, generic, initial setup, initial, erp, setup, really, like, data"
2,841,2_xero_bank_invoicing_reconciliation,"xero, bank, invoicing, reconciliation, invoices, initial, initial setup, cash flow, setup, accounting"
3,781,3_netsuite_searches_workflows_erp,"netsuite, searches, workflows, erp, operations, appreciate, needs, customizable, saved, inventory"
4,710,4_sage_intacct_entity_financial,"sage, intacct, entity, financial, reporting, multi entity, automation, multi, ap, time"
5,177,5_qb_qb desktop_desktop_pro,"qb, qb desktop, desktop, pro, payroll, years, usefull, ve, little, using"
6,138,6_intacct_intuit_suite_enterprise,"intacct, intuit, suite, enterprise, entries, entities, reporting, record transactions, module, provides"
7,127,7_qbo_desktop_qb desktop_accountant,"qbo, desktop, qb desktop, accountant, bank, bookkeeper, businesses, does, version, qb"
8,74,8_automation_processes_automate processes_business processes,"automation, processes, automate processes, business processes, business process, automation capabilities, reducing, automation process, processes easy, processes business"
9,54,9_searches_saved_search_search functionality,"searches, saved, search, search functionality, create custom, custom, create, like create, fields, save"
10,50,10_modules_integrated modules_modules easy_module,"modules, integrated modules, modules easy, module, use modules, different modules, integration modules, ap module, integrated, ap"
11,36,11_trainings_employee_pay_profile,"trainings, employee, pay, profile, holds, history, hr, career, position, employees"
12,30,12_version_desktop version_online version_desktop,"version, desktop version, online version, desktop, use desktop, online, easier use, standard, continue, versions"
13,27,13_currency_multi currency_multi_currencies,"currency, multi currency, multi, currencies, multiple entities, entities, multiple currencies, multiple, entity, currently use"
14,24,14_organized_organized easy_keeps organized_emails,"organized, organized easy, keeps organized, emails, liked, clearly, able pick, organized like, navigate ability, displayed"
15,23,15_search_search bar_global search_bar,"search, search bar, global search, bar, search feature, global, easy search, extremely powerful, feature useful, like things"
16,23,16_ai_ai features_ai feature_ai integration,"ai, ai features, ai feature, ai integration, feature helpful, looking forward, forward, learning, ai capabilities, customization like"
17,21,17_journal_journal entries_entries_journal entry,"journal, journal entries, entries, journal entry, uploading, upload, uploads, edit, update, posted"
18,20,18_salesforce_integrated salesforce_lot flexibility_billing,"salesforce, integrated salesforce, lot flexibility, billing, crm, programming, actual, sales team, areas, group"
19,19,19_great customer_started using_daily user_considerable,"great customer, started using, daily user, considerable, seemingly, responds, improvement, months ago, 30 years, impactful"
20,18,20_crm_tool managing_flows_features customizable,"crm, tool managing, flows, features customizable, continues grow, need learn, jumping, management crm, deals, average"
21,17,21_tabs_screens_tab_screen,"tabs, screens, tab, screen, learned, quirks, multiple, attachment, act, finding"
22,16,22_fiori_apps_help organization_define,"fiori, apps, help organization, define, cash application, time information, user experience, analytics, business users, management real"
